year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2015,"Public relations & fundraising managers","112031","Computer and Information Sciences and Support Services","11",77905.3,38350.2,1665,845.298,0.898054
2015,"Eligibility interviewers, government programs","434061","Computer and Information Sciences and Support Services","11",37346.2,13119.1,1638,1021.14,1.38795
2015,"Shipping, receiving, & traffic clerks","435071","Computer and Information Sciences and Support Services","11",24724.8,4922.26,1615,1120.62,0.902237
2015,"Chefs & head cooks","351011","Computer and Information Sciences and Support Services","11",27977.5,7804.69,1611,874.701,0.818725
2015,"Firefighters","332011","Computer and Information Sciences and Support Services","11",83679.8,14870.8,1611,1015.14,0.728974
2015,"Other education, training, & library workers","2590XX","Computer and Information Sciences and Support Services","11",54175.1,13997.4,1573,883.731,0.521664
2015,"Editors","273041","Computer and Information Sciences and Support Services","11",51921.6,19753.6,1560,728.318,0.325902
2015,"Bus drivers","533020","Computer and Information Sciences and Support Services","11",49521.5,19195.3,1555,858.728,0.759974
2015,"Pipelayers, plumbers, pipefitters, & steamfitters","472150","Computer and Information Sciences and Support Services","11",42631.7,34849.6,1517,913.994,1.80653
2015,"Insurance claims & policy processing clerks","439041","Computer and Information Sciences and Support Services","11",55111.2,39081.2,1517,874.157,0.389012
2015,"Firstline supervisors of construction trades & extraction workers","471011","Computer and Information Sciences and Support Services","11",90673.4,14364.1,1503,944.761,0.554809
2015,"Librarians","254021","Computer and Information Sciences and Support Services","11",55889.7,11715.7,1493,785.111,0.297281
2015,"Firstline enlisted military supervisors","552010","Computer and Information Sciences and Support Services","11",70410.8,14224.2,1490,736.169,1.24891
2015,"Food preparation workers","352021","Computer and Information Sciences and Support Services","11",11355.8,4099.8,1484,666.237,0.597692
2015,"Clinical laboratory technologists & technicians","292010","Computer and Information Sciences and Support Services","11",58560.1,22034.5,1482,825.108,0.259115
2015,"Lodging managers","119081","Computer and Information Sciences and Support Services","11",77714.6,46128.1,1463,905.563,0.724256
2015,"Firstline supervisors of food preparation & serving workers","351012","Computer and Information Sciences and Support Services","11",37043.8,10091.8,1460,705.928,0.580784
2015,"Miscellaneous legal support workers","232090","Computer and Information Sciences and Support Services","11",99423.6,59939.5,1456,772.493,0.555459
2015,"Technical writers","273042","Computer and Information Sciences and Support Services","11",94128.4,38090.2,1456,631.664,1.01238
2015,"Miscellaneous agricultural workers, including animal breeders","4520XX","Computer and Information Sciences and Support Services","11",10790.9,6086.27,1455,1444.79,0.89632
2015,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians","4990XX","Computer and Information Sciences and Support Services","11",59770.1,16936.2,1432,1245.75,1.70672
2015,"Detectives & criminal investigators","333021","Computer and Information Sciences and Support Services","11",93869.0,13241.0,1379,653.655,0.535093
2015,"Transportation, storage, & distribution managers","113071","Computer and Information Sciences and Support Services","11",76036.1,30155.2,1346,697.207,0.566694
2015,"Couriers & messengers","435021","Computer and Information Sciences and Support Services","11",72630.6,48149.3,1327,960.906,1.33478
2015,"Childcare workers","399011","Computer and Information Sciences and Support Services","11",17723.4,6867.73,1302,644.797,0.230892
2015,"Miscellaneous life, physical, & social science technicians, including social science research assistants","1940YY","Computer and Information Sciences and Support Services","11",47338.7,21663.2,1287,682.688,0.361603
2015,"Bus & truck mechanics & diesel engine specialists","493031","Computer and Information Sciences and Support Services","11",51997.4,9533.99,1239,932.789,3.35135
2015,"File clerks","434071","Computer and Information Sciences and Support Services","11",51701.7,22868.3,1207,609.296,0.682613
2015,"Bartenders","353011","Computer and Information Sciences and Support Services","11",16390.0,7711.69,1187,723.912,0.400013
2015,"Miscellaneous assemblers & fabricators","512090","Computer and Information Sciences and Support Services","11",40140.7,12939.9,1166,643.901,0.523615
2015,"Miscellaneous media & communication workers","273090","Computer and Information Sciences and Support Services","11",32233.1,9276.57,1159,644.69,0.766923
2015,"Photographic process workers & processing machine operators","519151","Computer and Information Sciences and Support Services","11",69655.7,14242.5,1142,755.712,4.14634
2015,"Advertising & promotions managers","112011","Computer and Information Sciences and Support Services","11",49385.3,26030.8,1141,837.179,0.901315
2015,"Insurance underwriters","132053","Computer and Information Sciences and Support Services","11",110032.0,45103.7,1132,582.937,0.45836
2015,"Maids & housekeeping cleaners","372012","Computer and Information Sciences and Support Services","11",26603.6,9243.06,1123,783.777,0.558424
2015,"Payroll & timekeeping clerks","433051","Computer and Information Sciences and Support Services","11",66571.8,32062.6,1103,675.666,0.872764
2015,"Gaming services workers","393010","Computer and Information Sciences and Support Services","11",59706.3,19522.9,1073,853.121,1.91425
2015,"Drafters","173010","Computer and Information Sciences and Support Services","11",82222.0,22291.9,1069,523.327,0.745422
2015,"Bailiffs, correctional officers, & jailers","333010","Computer and Information Sciences and Support Services","11",63113.7,14067.5,1037,696.732,0.407591
2015,"Medical records & health information technicians","292071","Computer and Information Sciences and Support Services","11",57272.7,11689.0,1033,656.73,0.696309
2015,"Supervisors of transportation & material moving workers","531000","Computer and Information Sciences and Support Services","11",62138.8,17807.1,1028,708.093,0.673082
2015,"Carpenters","472031","Computer and Information Sciences and Support Services","11",37373.6,18637.8,1011,750.539,0.519044
2015,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other","2740XX","Computer and Information Sciences and Support Services","11",37938.4,23877.0,1008,643.324,0.846855
2015,"Telecommunications line installers & repairers","499052","Computer and Information Sciences and Support Services","11",52271.6,12379.6,1002,664.609,2.15821
2015,"Television, video, & motion picture camera operators & editors","274030","Computer and Information Sciences and Support Services","11",41784.4,27915.8,996,858.121,0.927281
2015,"Fundraisers","131131","Computer and Information Sciences and Support Services","11",65869.4,10732.0,992,668.55,0.382811
2015,"Tellers","433071","Computer and Information Sciences and Support Services","11",27202.3,5876.08,990,643.942,0.533767
2015,"Materials engineers","172131","Computer and Information Sciences and Support Services","11",96938.4,28955.5,988,702.491,0.858085
2015,"Preschool & kindergarten teachers","252010","Computer and Information Sciences and Support Services","11",20061.5,10966.3,945,585.237,0.0987486
2015,"Agents & business managers of artists, performers, & athletes","131011","Computer and Information Sciences and Support Services","11",40209.9,16739.2,929,655.94,1.24505
2015,"Producers & directors","272012","Computer and Information Sciences and Support Services","11",97705.0,27825.2,918,411.561,0.244648
2015,"Medical scientists, & life scientists, all other","1910XX","Computer and Information Sciences and Support Services","11",64030.2,16413.3,909,587.356,0.166501
2015,"Photographers","274021","Computer and Information Sciences and Support Services","11",14563.8,4828.59,886,591.833,0.509476
2015,"Postal service mail carriers","435052","Computer and Information Sciences and Support Services","11",47807.5,7918.99,883,463.243,0.53603
2015,"Dentists","291020","Computer and Information Sciences and Support Services","11",105871.0,31333.7,882,728.806,0.179506
2015,"Respiratory therapists","291126","Computer and Information Sciences and Support Services","11",68537.7,15758.9,880,651.307,0.740071
2015,"Training & development managers","113131","Computer and Information Sciences and Support Services","11",76737.4,20200.6,872,524.396,0.595455
2015,"Firstline supervisors of housekeeping & janitorial workers","371011","Computer and Information Sciences and Support Services","11",65864.5,47509.0,859,528.588,0.870653
2015,"Other financial specialists","132099","Computer and Information Sciences and Support Services","11",70656.5,15280.5,833,472.234,0.657272
2015,"Tax preparers","132082","Computer and Information Sciences and Support Services","11",47631.9,29305.1,832,528.102,0.486178
2015,"Flight attendants","532031","Computer and Information Sciences and Support Services","11",41547.9,20002.2,828,538.864,0.52622
2015,"Meeting, convention, & event planners","131121","Computer and Information Sciences and Support Services","11",50161.4,15420.2,816,590.34,0.308221
2015,"Recreation & fitness workers","399030","Computer and Information Sciences and Support Services","11",37456.9,13937.5,800,493.277,0.142627
2015,"Automotive service technicians & mechanics","493023","Computer and Information Sciences and Support Services","11",35542.4,6540.53,797,511.439,0.753384
2015,"Heating, air conditioning, & refrigeration mechanics & installers","499021","Computer and Information Sciences and Support Services","11",24911.0,14433.1,789,466.512,1.26481
2015,"Other healthcare practitioners & technical Occupations","299000","Computer and Information Sciences and Support Services","11",49441.7,13589.8,783,520.83,0.261783
2015,"Word processors & typists","439022","Computer and Information Sciences and Support Services","11",34034.8,14869.9,783,488.07,0.343883
2015,"Actuaries","152011","Computer and Information Sciences and Support Services","11",112982.0,60489.8,768,502.354,0.798305
2015,"Massage therapists","319011","Computer and Information Sciences and Support Services","11",42703.8,27989.9,767,541.344,0.732571
2015,"Social & human service assistants","211093","Computer and Information Sciences and Support Services","11",40507.0,13351.2,759,477.322,0.252575
2015,"Packers & packagers, hand","537064","Computer and Information Sciences and Support Services","11",23405.1,15537.9,758,412.606,1.08667
2015,"Bill & account collectors","433011","Computer and Information Sciences and Support Services","11",34191.6,7900.41,758,584.727,0.720943
2015,"News analysts, reporters & correspondents","273020","Computer and Information Sciences and Support Services","11",50920.3,20845.5,743,507.504,0.346941
2015,"Budget analysts","132031","Computer and Information Sciences and Support Services","11",68375.5,23654.6,733,473.939,0.565663
2015,"Transportation security screeners","339093","Computer and Information Sciences and Support Services","11",40476.5,8260.06,723,561.523,2.18187
2015,"Billing & posting clerks","433021","Computer and Information Sciences and Support Services","11",54041.7,26440.1,717,509.521,0.218018
2015,"Industrial & refractory machinery mechanics","49904X","Computer and Information Sciences and Support Services","11",60855.1,22182.5,708,458.525,0.870152
2015,"Physician assistants","291071","Computer and Information Sciences and Support Services","11",97575.8,19328.2,707,486.587,0.223059
2015,"Special education teachers","252050","Computer and Information Sciences and Support Services","11",57909.9,15397.1,707,485.568,0.0895089
2015,"Loan interviewers & clerks","434131","Computer and Information Sciences and Support Services","11",60260.5,14132.8,705,562.15,0.620342
2015,"Hairdressers, hairstylists, & cosmetologists","395012","Computer and Information Sciences and Support Services","11",13334.2,7448.9,702,488.404,0.521258
2015,"Cleaners of vehicles & equipment","537061","Computer and Information Sciences and Support Services","11",26569.2,16281.7,687,459.894,1.43969
2015,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers","371012","Computer and Information Sciences and Support Services","11",46850.2,25760.7,639,532.362,0.676993
2015,"Stationary engineers & boiler operators","518021","Computer and Information Sciences and Support Services","11",81469.2,16214.4,636,670.585,1.47652
2015,"Hotel, motel, & resort desk clerks","434081","Computer and Information Sciences and Support Services","11",19589.3,12144.4,633,517.325,0.627221
2015,"Administrative services managers","113011","Computer and Information Sciences and Support Services","11",69543.1,19036.7,616,468.66,0.283124
2015,"Aircraft mechanics & service technicians","493011","Computer and Information Sciences and Support Services","11",43551.7,24057.2,614,466.203,0.833792
2015,"Coin, vending, & amusement machine servicers & repairers","499091","Computer and Information Sciences and Support Services","11",36144.2,15033.7,612,393.858,4.71938
2015,"Industrial truck & tractor operators","537051","Computer and Information Sciences and Support Services","11",45657.3,14996.9,612,508.991,0.931804
2015,"Nonfarm animal caretakers","392021","Computer and Information Sciences and Support Services","11",25195.6,9581.61,596,411.277,0.536253
